State,aq_sp_yield_min,fff,hksat_sf,liq_canopy_storage_scalar,sucsat_sf,watsat_sf,zbedrock_sf,wc2wjb0,jmaxb0,cv,d_max,frac_sat_soil_dsl_init,act25,n_baseflow,nstem,leafcn,stem_leaf,froot_leaf,FUN_fracfixers,slatop,krmax,dleaf,medlynintercept,medlynslope,kmax,psi50,rootprof_beta,baseflow_scalar,maximum_leaf_wetted_fraction,jmaxb1
min,0.01,0.02,0.1,0.05,0.01,0.8,0.8,0.5,0.01,0.005,10,0.5,40,1,0.03,16.41,1.84,1.2,0,0,1.00E-11,0.000216,1,1.29,0.000000003,-795000,0.7544,0.0005,0.01,0.05
max,0.02,5,10,2,10,1.2,1.2,1.5,0.05,0.02,60,1,120,2,0.5,75.4,2.76,1.8,1,0.15,2.00E-08,0.243,50000,7.07,0.00000022,-135000,0.993,0.1,0.5,0.25
