,Ensemble,Time,TALL_GPP,TALL_EFLX_LH_TOT,OSBS_GPP,OSBS_EFLX_LH_TOT,ORNL_GPP,ORNL_EFLX_LH_TOT
0,LHC0000,2018-01-01,3.713138383354839,20.84089247067742,5.247190396709677,29.52111799096774,0.0,9.387522149064516
1,LHC0000,2018-02-01,5.3005778978928575,34.32789821107143,6.681994913285714,41.437656193571435,0.0,10.24564947207143
2,LHC0000,2018-03-01,6.8246221991935485,45.110745315806454,8.212980368548388,58.06986122032258,0.0,18.664199344935483
3,LHC0000,2018-04-01,8.858706553300001,62.990144406333336,8.843894870166668,67.77967144933334,5.064731582066667,52.863835228666666
4,LHC0000,2018-05-01,9.67112081764516,79.87039102677419,8.925897692032258,74.19601976129032,8.356001817903225,76.09661391548387
5,LHC0000,2018-06-01,9.590192694933334,78.53690908833333,8.791487938966666,84.23546857299999,8.151873797033334,71.858338971
6,LHC0000,2018-07-01,9.019327925064514,64.68821257451613,8.46865805080645,77.42396878225807,8.03896890967742,71.53262487258064
7,LHC0000,2018-08-01,8.086729084451614,52.699903227741935,7.865593630419355,76.26231080612902,6.911145887225807,55.27212631612903
8,LHC0000,2018-09-01,6.370463340166666,38.05045341,7.488668816166666,67.03770758266667,4.723884104766666,38.17650337233333
9,LHC0000,2018-10-01,4.975777416290323,25.27207676029032,6.9986183455806446,58.274994073870964,3.0265103106129034,21.925371942032257
10,LHC0000,2018-11-01,3.7278651876666666,11.0626762338,5.637789307,35.973366524999996,0.23445240543333332,4.3134132974
11,LHC0000,2018-12-01,3.468992805483871,9.85475151616129,5.071877308258064,29.36242646293548,0.0,4.9262915443548385
12,LHC0000,2019-01-01,3.481949604548387,14.06771147919355,5.758664056580645,39.81557695741935,0.0,9.608963027870967
13,LHC0000,2019-02-01,5.057368371857143,29.019934430642856,6.5863826585,46.800314160000006,0.0,17.849586190714287
14,LHC0000,2019-03-01,6.744543006709677,45.18988507806451,7.791478250032259,58.39023632870968,0.039811724903225806,27.771718905903224
15,LHC0000,2019-04-01,8.925174825400001,64.52590195766666,8.809299416933333,74.104097225,5.779216578333333,60.86786622499999
16,LHC0000,2019-05-01,9.486917115645161,72.60307603999999,8.888357808741937,81.46156144935485,7.957872457000001,76.52773667354839
17,LHC0000,2019-06-01,9.535034873033334,80.25436576,8.637510725033334,80.18622846333332,8.321775906533334,77.01019138
18,LHC0000,2019-07-01,9.035613590096775,72.3815373535484,8.15064413035484,72.89410050000001,7.801930659419355,80.14252928774194
19,LHC0000,2019-08-01,8.267441024935483,70.64812607709676,8.025180898903226,76.30420185,7.3414330049354835,76.10129558645161
20,LHC0000,2019-09-01,7.5341536415,67.37501202899999,7.704512772466667,73.64545061700001,6.222729699433333,67.355224562
21,LHC0000,2019-10-01,5.567040956387097,41.19448906354839,6.853263911096774,54.024734633225805,5.295939290741935,45.57369161967742
22,LHC0000,2019-11-01,5.227811398166667,29.251268572233336,5.858936888033333,35.94742062433333,0.23562365413333333,9.9366343602
23,LHC0000,2019-12-01,4.070444683354839,24.808314005193548,5.323069670451613,33.713449057096774,0.0,8.502917274967741
24,LHC0000,2020-01-01,4.082593038258064,26.44606163387097,5.520021815838709,29.02202977096774,0.0,9.919793312161291
25,LHC0000,2020-02-01,4.546310295931034,30.127760283448275,6.332856706448276,39.169895567931036,0.0,13.870619015172414
26,LHC0000,2020-03-01,6.72190604367742,45.96624942032258,7.943688803741935,60.45286262516129,0.43854280283870967,22.01717746687097
27,LHC0000,2020-04-01,8.680119187299999,63.802310519,8.409059296299999,70.29289561633333,6.4802593644,61.38923576633333
28,LHC0000,2020-05-01,10.074714050580646,73.51987128,9.343462439032258,80.23244930548387,8.507956917967743,67.39687410612903
29,LHC0000,2020-06-01,9.720003685133333,80.58219127466667,8.651218318833333,79.736215157,9.112870336966667,77.72092802433333
30,LHC0000,2020-07-01,9.12135414416129,74.30806768000001,8.628047713741935,85.43522892483871,7.9286767897096775,79.11790504548387
31,LHC0000,2020-08-01,8.604797082032258,67.16658840258064,8.014815246451613,77.59302842290323,8.044421794064517,67.83796264677419
32,LHC0000,2020-09-01,7.537329336033333,51.660246672,7.049947798633334,63.663466236999994,6.9450664383000005,58.300752156
33,LHC0000,2020-10-01,6.887392299903225,42.45911924322581,6.587064192516129,52.61410873419354,5.716840146096774,41.540714472580646
34,LHC0000,2020-11-01,5.2971825928,29.245808687,5.767396929133333,43.845890301000004,0.11547973686666667,11.016619877199998
35,LHC0000,2020-12-01,4.221090364774193,20.951381641774194,5.417823992483871,29.061207038709675,0.0,8.22214906232258
36,LHC0000,2021-01-01,3.9608595547741934,22.951858443709675,5.467194980612903,30.541699303870967,0.0,8.248329743096773
37,LHC0000,2021-02-01,4.88437937825,30.46623523125,6.431415624321429,43.38003502642857,0.0,11.451223085107143
38,LHC0000,2021-03-01,6.814226529032258,46.92428706354839,7.764057682838709,57.098813709354836,0.0,25.096828286548387
39,LHC0000,2021-04-01,9.3856992231,83.86895903266667,8.862228800033334,70.21491466066666,4.735140622166667,57.483979828
40,LHC0000,2021-05-01,10.030089059225807,74.00163271580645,9.189844540096773,78.61552262064517,8.084391566419354,69.86536853580644
41,LHC0000,2021-06-01,9.400506818566667,67.56160616033334,8.729113470666666,75.68347982266667,8.646524244466667,76.45314040299999
42,LHC0000,2021-07-01,9.509831442451613,68.33003937096774,8.371284857032258,73.49719339161291,8.565138826548386,75.51653305129032
43,LHC0000,2021-08-01,8.45010026648387,63.60598977419355,7.806524563677419,71.8722505732258,7.652337336870968,71.15971361999999
