time,DEF_OSBS,DEF_TALL,DEF_ORNL,FLUXCOM_OSBS,FLUXCOM_TALL,FLUXCOM_ORNL,MODIS_OSBS,MODIS_TALL,MODIS_ORNL,GOSIF_OSBS,GOSIF_TALL,GOSIF_ORNL,ORNL_OSBS,ORNL_TALL,CAL_ORNL,CAL_OSBS,OSBS_TALL,OSBS_ORNL,TALL_OSBS,CAL_TALL,TALL_ORNL
2002-01-01,3.479594381091332,1.6252709832537795,0.9032327142329213,1.1979328,0.6330749,0.22879188,1.6128655332529782,0.8601340967705797,0.5829543698448963,1.9662923893905866,1.0450653275707125,0.7762549554866586,3.3327155810515503,1.5346082815068613,0.9736838661879683,2.633797326524655,1.4363395693705698,0.34212480615076135,2.361913405141232,1.0726773562572092,0.5150539146171157
2002-02-01,4.069833936363277,1.6979842285340672,0.9506972729053533,1.4381106,0.6279507,0.20997156,2.0476742725694193,1.1094076023104427,0.8123138234618587,2.2213302852674786,1.2657937816837266,0.982888147864456,4.011227874205058,1.674241710814698,0.9533279889718904,3.5555879373827217,1.5014387720245406,0.2676422431511876,3.0471349801942194,1.1253579192209404,0.3173947269706407
2002-03-01,4.628077201507289,2.0563651863087262,1.190415947591672,1.7643068,0.95923316,0.44461796,3.0662084396212603,2.0071265287784756,1.601896321196506,3.3364771689897217,1.879402576938602,1.4471986494687665,4.49220221507191,2.0241917248299894,1.1695474455408839,4.12748959943228,1.8213116740404176,0.37172991071930694,3.3943373125045437,1.3456084268960413,0.43990016090231243
2002-04-01,6.7345746062870155,3.2716709762767358,2.4039581570190784,3.0768347,2.0898507,1.3830866,5.6700710356032555,4.754798914413101,4.1726882543059975,5.763319550689858,4.828112779765005,3.8871606320538206,6.771943708250624,3.2850612715851546,2.4355265663209904,6.366386606737184,2.7402094881632717,0.8441434143431701,5.398245516664532,2.230788941007796,1.2546318518347128
2002-05-01,7.377876352108914,4.886249947922405,5.408280231256582,4.5005116,4.674913,4.170379,7.286329428726737,8.069861328726514,8.238459359860181,7.513642077083953,8.811742627473155,9.731379919806292,7.705806131849013,4.780835898407525,4.582815050732182,6.763469777569828,4.091165080656105,2.068788849380902,6.100358754302242,3.5037840376856786,2.9407364924534143
2002-06-01,7.287954553708369,7.247097707836844,10.265947864405996,5.130752,6.8811045,7.921792,7.77504845274164,9.073564737652127,10.694387253077767,7.617775701374287,9.158549000893277,11.255580278014605,8.095495361778545,6.451337277319859,8.041124061677488,5.521949530993003,5.580450918767519,5.103285346661003,5.76403098823901,5.293864724695012,6.7727400303657355
2002-07-01,7.730901173568606,8.078329761551583,11.358931402885988,6.0951476,7.6690683,9.443651,7.952894378049161,9.228436698645295,11.316178867992635,7.727492961195711,8.630661444011698,10.468627314109476,8.296212565820444,7.233490765714512,9.221148586240064,5.637481802227719,5.838762146003304,6.164937474102556,5.618110461478846,5.944463813166752,7.893850281251854
2002-08-01,8.654216235835401,7.610002925005514,10.352585973527956,6.623103,7.3219595,9.405494,7.431561257052333,8.047700096345237,9.62279899906088,7.424834799575117,7.8421680100902895,9.09226953814857,8.541272544809479,6.782693644606083,8.308538388183242,6.582294148295649,5.036906207447495,5.746352999818775,6.23792383431273,5.429840823963064,7.364272047972861
2002-09-01,7.9858195260958444,6.757551018435898,7.55579096664907,5.8628798,5.6870527,7.101893,6.069914106067511,5.621127668677036,6.443798976732831,6.601032621508187,5.991900578383272,6.599531739285752,7.792603767559446,6.081944173583344,6.931977492208793,5.99930287724296,3.6419772722034156,4.709204274764118,5.710206420023769,4.368618430187726,6.249228367601036
2002-10-01,7.200213512325171,5.1631144434603975,4.443419547932836,4.98005,3.898812,4.3578367,4.326894729060893,3.4768858234300537,4.194098114518506,5.185986945959058,3.8041097004848194,4.120648498383807,6.964193176357345,4.775301557098263,4.7195405991092345,6.357575090490691,2.807723282907113,3.1832097595350803,5.449340760654942,3.2824923466611207,4.364274863877482
2002-11-01,6.139282534770648,3.908754725456211,4.548142738247257,3.6230564,2.4668884,2.1629047,2.8829357388690595,1.714381669562102,1.7082519426589844,3.1003434169541957,1.885443150709942,1.584515254820713,5.793099994784377,3.312059609494593,3.228886452814706,6.354279427454863,2.9249842128532877,2.1575190285042565,4.998047333975025,2.659290023838315,3.168295504342896
2002-12-01,4.486948583664764,2.0314141280820883,1.3816499255165118,2.187815,1.1224394,0.6644281,1.931817711942525,0.9864518759419758,0.8085137835964538,2.0945696517113483,1.0878081179188912,0.800997890504328,4.194549608898368,1.8874654749339372,1.3294985271513553,4.707659372971415,1.729630323697515,0.4980297233631714,3.5867646562370714,1.3248876189770733,0.7231855394627795
2003-01-01,3.8665059339365984,1.6037163646878034,0.9121128126086457,1.6134436,0.580443,0.24465357,1.7054152796314455,0.8890061399305674,0.6505583819496913,1.9438779500642902,1.0038715837758925,0.6692302346053157,3.663890215767322,1.5478035590456367,0.9173009937549028,3.9268191361376394,1.3455183971086946,0.2757801494849712,3.0612832136205244,1.0339974303471124,0.38791798988197773
2003-02-01,3.8988983153094576,1.5159033721017707,0.6954844087697348,1.5042155,0.5317148,0.11415731,2.0194243619761996,1.1017901215706374,0.6852263157801929,2.174743445820991,1.1326654709259563,0.7252130266308061,3.8532002130163887,1.5344685765908443,0.7218241648618362,3.873247923247162,1.2883535214325812,0.1966564294941055,3.0717205464450696,0.9648457566787412,0.2436563254006565
