time,DEF_OSBS,DEF_TALL,DEF_ORNL,ERA5_OSBS,ERA5_TALL,ERA5_ORNL,GLEAM_OSBS,GLEAM_TALL,GLEAM_ORNL,FLUXCOM_OSBS,FLUXCOM_TALL,FLUXCOM_ORNL,ORNL_OSBS,ORNL_TALL,CAL_ORNL,CAL_OSBS,OSBS_TALL,OSBS_ORNL,TALL_OSBS,CAL_TALL,TALL_ORNL
1993-03-01,50.383495,28.419891,18.40621,63.9985398288524,39.626283415620456,22.29258942827482,39.23439526415333,29.219148196582964,22.336811885789192,,,,56.734756,29.646545,30.130753,70.13198,36.83607,23.628744,61.415897,33.90822,26.109919
1993-04-01,69.979645,42.65236,26.598314,83.3375128460118,56.996632169790665,35.31961589135946,57.507780890069,44.74156085568795,32.68039201107278,,,,81.1999,42.47742,40.625572,95.945915,52.35179,27.069149,84.85344,49.00067,26.875399
1993-05-01,88.202965,68.121925,55.90739,119.86610477651442,94.9987322521217,81.9056310776207,81.30505839742418,69.64211078321911,60.67251057828414,,,,86.84204,61.963028,61.561855,104.245964,73.83157,49.29217,103.10269,71.03611,48.90238
1993-06-01,106.69796,99.29371,111.36318,113.70800438873745,120.95322582357953,112.75570329455033,91.86409864771589,88.88426824817695,90.44867950689137,,,,109.735855,93.91562,111.47041,125.88195,104.12078,90.71564,129.29256,102.0598,89.96974
1993-07-01,123.36983,114.63421,131.8664,116.15146492854102,124.87241031177535,121.76998448263154,97.42785097880416,95.52162598118251,98.72723107370884,,,,137.3021,112.67734,132.70305,147.61107,122.38196,107.686646,151.07666,121.786736,107.53878
1993-08-01,128.59752,122.86661,126.952995,131.10299352303926,126.04843377300057,121.86415973453973,107.85890018617478,108.68397244213887,112.90755822034846,,,,141.43631,117.444374,141.70107,138.99348,113.47311,112.42546,140.94437,122.96015,113.38247
1993-09-01,115.537445,108.979744,94.61412,109.03551033653306,109.62298351821725,105.51799853650112,94.33453772153361,90.21842849966605,90.6860495543502,,,,129.09607,113.1485,124.87113,118.41863,99.71283,97.56297,117.79982,105.93133,98.62517
1993-10-01,101.53494,83.3124,69.812645,102.00390012884937,87.24150886649394,84.05227013128388,76.52765081311176,67.0539713053829,67.65017131033352,,,,113.417915,88.74531,96.24184,105.05145,75.22095,76.887985,105.31723,78.7189,74.67978
1993-11-01,68.69967,53.97425,47.187798,67.96931654504965,58.193514426279705,53.71833358953364,53.072476786862204,46.171339251430446,43.73102528986801,,,,76.03364,56.922832,62.209976,65.68505,53.117184,49.695724,65.05935,51.94823,48.46315
1993-12-01,45.13062,27.198336,23.375761,58.21965076657885,38.839265055426935,30.964233309772045,39.965304827068486,29.0457899999006,25.06875418810838,,,,50.359715,32.71541,39.135456,62.77017,39.438835,29.241816,58.480103,35.285793,22.882017
1994-01-01,35.883934,21.361694,16.347479,46.01233611556797,31.203356438589285,20.58338691753607,32.61063440960367,24.427686280800348,18.15367287075527,,,,45.98376,27.36128,30.317486,57.09461,34.630795,27.895668,47.78719,29.699135,24.38758
1994-02-01,36.841965,18.038298,11.340919,45.83557221716144,23.98901257656474,10.775221629628826,33.308896595634096,22.888017744269746,15.137678877887693,,,,50.27466,25.521694,26.855,59.46325,29.039103,14.94764,49.841953,25.800978,16.380873
1994-03-01,47.479637,28.767899,15.815819,62.010193580190624,38.81113442626159,25.166879816731605,37.63677928005781,29.069270969123533,24.900885850424977,,,,54.10803,29.717405,26.124914,66.16826,36.398834,18.95657,59.354683,34.282352,21.794785
1994-04-01,71.97134,51.79168,31.760017,90.01729453085144,68.05269214265543,48.65456115967247,61.73614706003843,49.411713750551435,42.48745156926306,,,,77.64739,46.986774,44.818863,93.114395,56.13687,30.876032,87.13113,53.060143,29.974113
1994-05-01,87.543564,81.1257,61.43255,107.83610388203148,103.3133905517998,88.72676964400796,76.81015858059334,75.61365878046396,70.65652657636234,,,,93.73792,72.65866,65.064125,105.71248,82.1798,52.96457,105.63758,80.27629,53.292797
1994-06-01,102.75498,101.56412,107.70375,109.45687461138209,119.06471184627678,110.97584100150394,90.363763273876,89.06723917608998,88.82631739073621,,,,113.13009,93.88189,108.87014,117.228584,103.681816,87.08673,120.8928,103.79716,89.20504
1994-07-01,133.94397,121.17017,135.14835,126.53277277276669,132.30992512525617,123.09315553973842,92.93829287601326,97.66806409340231,101.43774341559238,,,,159.81046,121.462395,140.69441,170.00842,128.61693,111.861824,157.31873,125.50764,109.83388
1994-08-01,140.51024,127.48732,134.16415,131.56831863127627,126.46805910799716,120.93945982942172,97.62883495631485,95.75396778646783,95.39698752364973,,,,161.19057,129.9375,141.60374,170.04306,135.65268,114.17787,160.3816,132.07767,111.3774
1994-09-01,120.9587,109.49654,116.36779,125.47667578844957,113.5874233946211,112.11005678110212,92.34641755076349,88.38671210080676,88.86427821139355,,,,137.15433,108.705345,125.77228,146.41714,104.34078,98.95567,140.91658,112.124596,102.88701
1994-10-01,99.26729,80.63514,78.47478,108.9407831193821,92.97031765574202,85.69331073269323,73.48781689031566,68.0041076082803,67.37790363016583,,,,108.9849,81.9487,93.93715,114.96247,73.85634,65.46355,113.138405,80.01919,74.10044
1994-11-01,72.80813,55.872406,47.34383,78.88896619078749,61.385646695744555,53.10340376179623,52.3371178471404,46.940543499135835,47.938525747110944,,,,84.223595,61.991455,63.18296,96.413185,62.780098,43.869663,89.28133,59.54259,45.957825
1994-12-01,49.997105,33.512775,23.159054,61.66681078018373,46.6122637397609,39.19027213541545,41.88474083854654,33.902567293701054,34.82408208822597,,,,55.080223,41.369545,39.390736,67.49879,47.25122,29.066296,64.461914,42.585587,22.28915
1995-01-01,37.7258,20.306263,13.632044,45.92917847812986,28.134614688182104,20.39865348406033,31.094238374354372,20.988423902807796,17.858770463926536,,,,46.360947,25.636152,22.558725,57.084175,30.874365,17.683022,48.62021,25.938263,14.360413
1995-02-01,40.064083,22.102047,14.241084,50.2255183284075,30.33076998557954,18.783507533926336,33.72497448299907,24.90296701861397,19.859758374295062,,,,52.23762,28.462234,28.768534,64.065506,34.02062,23.403921,52.545765,28.713036,23.53094
1995-03-01,49.052372,29.998497,16.257685,60.54151862708899,40.91339574423546,22.461736961875644,38.65655909829291,31.75736904445227,24.965126399562024,,,,57.727592,29.57507,27.094767,67.37576,36.28611,17.318552,60.90344,35.77274,19.33813
1995-04-01,70.27265,53.236206,30.700459,85.62581307940233,68.42556383171082,52.01765034876467,56.498386657615974,53.135676631448874,46.505320897677315,,,,77.44718,47.87989,36.052433,91.89126,58.58724,30.189405,85.23997,56.494446,30.31105
1995-05-01,91.22668,76.95018,69.06852,113.5604902961232,101.61443595980327,85.97936600812835,77.60736207801779,72.72615638677927,64.9056931004558,,,,93.609314,70.78752,72.62069,113.09138,80.04706,55.47306,110.35524,78.673386,54.673176
1995-06-01,115.04418,104.16863,112.99299,112.42694236008845,116.80006383569518,111.2424821643906,94.70913308812432,85.85937213957952,84.34675409120271,,,,119.30694,98.557304,123.99773,138.44054,108.25188,100.65209,143.69432,107.36849,95.874596
1995-07-01,129.29832,120.666534,135.42633,124.44632513095159,131.13433109198454,125.56242748992713,94.31957378027619,94.81849870753672,94.38999253499635,,,,140.17905,115.137505,141.09224,160.06415,121.10131,117.62974,157.44775,124.20328,112.18151
1995-08-01,132.5115,129.45226,131.78027,131.57012309832365,128.40021607954642,134.31432488440217,103.5299576625713,102.27191766679559,105.5526963752986,,,,150.03374,126.91789,140.80116,156.5941,120.48129,109.374,158.14224,126.81701,113.75302
1995-09-01,122.85813,111.60709,103.29693,127.37719314157778,107.25860023398656,115.78190457354927,94.95350969365623,92.60775213647972,91.97318367669149,,,,140.79886,111.40474,124.08002,147.6088,93.06994,100.18717,144.21371,100.61105,101.352936
1995-10-01,95.510544,76.824776,69.473854,94.62602393946719,68.34551209423881,75.93994163177496,71.58377236808712,63.874717331246885,62.227477216850545,,,,103.5489,82.51716,90.16949,100.70998,63.118267,68.94634,104.60093,65.17213,71.37223
1995-11-01,75.0635,56.313736,55.475807,84.30586985161237,62.90570375748931,59.81120726399125,58.877963170590746,54.092623354077126,46.890807017469264,,,,83.99635,62.62222,68.92132,92.10997,56.619366,53.506725,88.81429,57.401012,54.322548
1995-12-01,48.647755,26.63343,21.299297,59.03133679001498,39.68532810599561,30.06356474961663,39.58754868946072,30.71717140601843,25.8479065194281,,,,58.514328,35.992332,40.581215,69.868576,38.211903,29.572756,62.434616,32.607338,22.520601
1996-01-01,33.895782,17.61568,13.328859,40.47140517710972,25.938061526515384,16.05772338108983,29.771233272688985,23.01107157997052,20.501160645665497,,,,40.50026,24.750374,23.637466,48.029667,29.316809,22.172443,44.24275,25.68684,21.803297
1996-02-01,37.49065,19.29026,12.484012,46.28511164575081,28.400723171292963,14.614834568113823,33.913478229259866,26.2650934429691,20.812014048198897,,,,49.341488,30.689077,31.423397,59.344696,33.40948,15.489583,50.13862,28.830486,15.688582
1996-03-01,45.394917,23.04412,11.977225,58.49587004483979,38.95906321075698,22.204400097101907,38.957251594786335,34.64286011147988,28.25872054120884,,,,50.34653,24.64802,23.023731,59.29794,30.456982,9.626677,58.786957,30.584064,11.627897
1996-04-01,66.71548,37.741016,25.253399,80.94064529567157,59.64954581005218,37.728429660871505,56.809717981116016,48.80399116067751,37.583519666157166,,,,82.12178,43.54245,41.52375,93.36924,52.161243,30.253057,83.71445,48.02389,30.659554
1996-05-01,87.45888,66.01096,44.720726,112.28070380839792,103.77107508291894,83.43017690039392,77.87678658784466,77.07964728330099,62.88074918280931,,,,94.97758,66.69636,53.49804,106.09824,73.816185,45.770287,104.2245,71.3778,46.16335
1996-06-01,104.54093,102.5951,105.73482,110.22347077745609,118.09911421751431,111.96173315357525,91.80342843180705,95.09265555286862,89.49064087379931,,,,110.89872,97.79424,111.41839,114.65671,103.29139,90.232376,122.83789,106.52486,89.113365
1996-07-01,123.80994,121.39074,133.62337,115.20605738779388,129.24024569101329,132.20054411628044,97.15367095453738,94.37873225722957,99.18971810253026,,,,142.8157,120.99595,137.29407,142.90962,126.34429,115.11209,141.57791,125.83674,112.25441
1996-08-01,130.64462,123.59751,140.17789,120.70051314990414,116.60270372276052,122.03173279441756,101.09450193634967,95.2230556774814,99.97563426383806,,,,147.77585,128.90111,143.50845,144.85172,120.667854,115.145935,148.31735,122.328865,113.717995
1996-09-01,117.30842,104.99796,121.31097,112.73970696739029,112.61177758793035,114.57093576910722,90.18693030567475,86.13197402747899,89.36996332634317,,,,139.25766,108.86299,120.700294,138.31776,100.07161,96.98678,133.7937,104.482414,99.39284
1996-10-01,99.54539,78.80557,88.42716,107.82989008121648,90.82606902141141,87.60899257211275,75.70192278084636,64.83002245222607,65.4722801646721,,,,113.707466,86.17436,97.70686,114.66588,82.55165,76.75112,110.79481,82.01923,74.59683
1996-11-01,70.17421,56.796646,59.266163,82.7935330199398,64.66596399163566,56.91687657599177,56.280558186475865,49.46428536778793,45.47641630597808,,,,75.77393,57.174793,64.76047,83.13433,57.349976,51.9374,82.06356,58.843937,50.504112
1996-12-01,45.853363,27.848963,19.810862,53.9654105544892,41.20520537086976,29.527326820222722,40.74139270761365,28.156271562577693,23.325093489298958,,,,51.953445,36.996166,38.80041,56.605873,41.65589,30.88794,54.658474,35.387608,22.963484
1997-01-01,36.034966,21.285364,14.901607,43.33185433909554,30.36134739448259,21.519884967832127,31.908669618780266,25.063594612880436,21.96803817991671,,,,46.042686,26.693577,32.39777,54.197575,31.01827,22.442163,47.347088,26.56601,18.739912
1997-02-01,38.23691,21.4202,14.672234,46.824171374339095,29.060630009488975,17.216375248382082,34.491064503799336,26.936807872466815,22.8016891393712,,,,51.03659,27.599916,27.562973,60.758297,30.987558,19.363623,50.496685,27.265947,20.177572
1997-03-01,46.158344,28.426348,14.1734085,55.34764027710547,38.68668066131097,28.207814747185054,35.96501886707216,27.939702890408768,24.924448802000846,,,,57.59924,32.559612,23.266804,67.488625,37.26666,14.681514,58.251392,31.26008,13.840715
1997-04-01,72.204544,56.78493,40.551735,85.06144866430061,71.90728058200766,54.02649631937633,59.602590738169944,52.28407764767815,46.81271855400491,,,,76.83082,48.30091,49.1707,90.25266,58.70421,36.95219,86.63226,55.114834,34.456436
1997-05-01,83.54828,73.96399,73.5944,105.0127113743228,95.45150934971012,79.54165492037396,75.01126909425406,66.68238636112058,59.66118253764163,,,,92.30585,64.80889,74.00047,104.079315,73.02456,59.258923,99.78395,69.81021,58.054333
1997-06-01,107.26022,104.93569,107.40583,118.42065574235963,118.23676409088645,109.75232940870538,86.88627926457544,89.26829144249521,90.36902300055927,,,,114.889984,92.09743,115.90274,125.67949,100.36878,90.74392,125.2616,98.96242,86.98421
1997-07-01,116.886955,114.456,119.40733,127.92654714609252,126.09828783291253,115.07779364868095,91.42924863339346,88.61715325471339,84.69885659112576,,,,135.09941,110.539955,130.05536,146.95856,120.645164,105.95806,139.82333,116.58923,98.63159
1997-08-01,123.61321,123.807556,141.64774,135.83395828350564,133.98084187136044,130.39614733890338,103.60029616464918,104.18120097044905,104.38323502801781,,,,142.99188,118.940895,138.72658,151.81682,124.13754,107.14385,145.98376,126.43563,112.74779
1997-09-01,111.67089,104.201904,112.30236,126.06134326276414,110.63721278845996,106.15796134982229,95.99572613327724,88.43676110291088,87.72649301530194,,,,123.25922,103.57113,116.82161,129.39249,102.65265,90.43767,130.2221,105.49258,93.20221
1997-10-01,88.33393,83.05635,80.412895,95.4730269201994,81.19338669028232,79.62290293765102,75.12034149303472,69.45469721334571,67.50775478965777,,,,97.56272,83.82045,92.02453,89.249374,73.38339,69.230774,96.85263,82.47774,71.34753
1997-11-01,64.325356,54.821663,47.98049,73.97511896460162,63.00492315111045,47.34006485470116,57.76712257039356,48.956357775431385,45.22818873722076,,,,72.35325,58.440014,61.363518,75.65291,58.047146,43.123806,76.234985,58.35899,46.542637
1997-12-01,44.545277,23.830341,20.297165,56.85485324258333,36.11293161489801,27.029420298183606,36.5945108491735,26.004061108920855,22.733347923013564,,,,54.779163,31.49443,38.157177,65.707085,37.966457,27.135885,57.514812,31.886097,20.037647
1998-01-01,36.746906,18.56823,14.633075,47.21242505563069,28.18491797184361,18.77018457737014,30.793445338663325,20.87905861090652,16.405074323531988,,,,49.10865,27.956621,30.283085,59.440926,32.823223,22.701616,47.940723,26.4508,17.581238
1998-02-01,38.38944,21.675627,14.770603,46.03843346759872,28.80577653531061,20.12489455514281,30.939749664578482,20.96593788264813,18.56808780610886,,,,48.80605,27.44401,27.62057,59.003094,31.473606,18.241644,47.550518,25.712536,16.225973
1998-03-01,52.47331,32.09418,20.769295,68.05547525798865,44.837331267153864,29.98029199577192,41.293239881698064,29.37299181720391,22.362980232178757,,,,66.48268,34.35656,35.42117,79.77258,41.879635,22.917221,64.42558,35.860905,21.292261
1998-04-01,66.9593,48.1209,34.032444,85.12359021300557,59.75638596020322,46.41323405725718,58.128812149860536,46.383712848213484,41.51363493841308,,,,65.28275,41.847095,42.284184,78.37651,50.78592,34.698425,74.97204,48.475933,34.888763
1998-05-01,91.86401,76.99738,76.678986,105.6755847704376,96.90997363107931,81.51108510423823,73.60495574591982,68.6297026234829,56.904142420768295,,,,89.89871,67.18734,86.96159,106.58088,77.876884,68.41902,103.70579,76.551025,63.187943
1998-06-01,114.872,106.82754,120.53735,109.73914177378515,121.22866859380426,116.22629472620471,94.93877218362175,95.56641219085465,89.39955314974387,,,,118.53032,97.00681,126.93111,138.74623,106.626434,103.33964,142.85779,110.699776,98.98045
1998-07-01,121.69617,122.609856,133.93652,99.2891377667498,130.23954592283906,130.084385032656,101.22275658423378,105.1073478954107,98.87818938505153,,,,135.22923,116.873245,143.68518,140.22578,118.63873,120.85693,151.49539,126.022484,113.73182
1998-08-01,122.50449,123.62811,132.90416,113.12955952924298,111.17253604254353,121.84230620884698,100.84304623397529,100.22722031304987,100.0259987438311,,,,144.57086,127.93879,131.6842,134.50401,113.233185,111.123474,134.26591,116.60634,110.905174
1998-09-01,119.22981,108.33675,121.895164,119.25462089343688,103.42949914848862,108.24848875046706,95.35383746146027,89.65676382356708,95.8737406001784,,,,133.63335,112.31491,122.25554,118.852905,91.12384,94.85227,116.76829,96.48357,102.07422
1998-10-01,103.41853,79.73452,80.47858,102.9234095473159,78.6744061638134,64.86289629126297,70.72381979019697,70.73793871446993,77.3149317017278,,,,121.27791,87.98111,100.70339,127.70225,69.616615,68.799706,116.6968,71.835236,76.387764
1998-11-01,72.943375,57.01689,44.798496,86.40376179859854,65.72254737620247,46.3967090433419,60.739507486757034,49.165822982378366,45.50063426988918,,,,72.2159,59.083862,63.546474,84.009605,58.811085,45.987408,84.23167,58.269424,46.16965
1998-12-01,47.53995,29.076666,21.16338,52.245877994748334,40.406889418843186,29.04206327657381,37.56609901044643,28.222190217415694,26.902307889409077,,,,51.60499,36.832317,35.831863,53.667694,40.031937,24.160553,51.99735,34.01858,17.928955
1999-01-01,36.575195,21.914274,16.81141,42.02440772566397,31.85690837234145,22.098335124345585,30.908482416086258,22.4123098951519,19.319353646694985,,,,44.59281,31.19111,32.14224,47.109028,35.918453,25.171652,41.83993,29.957842,20.142538
1999-02-01,39.42817,20.994734,13.697118,50.018415823226846,30.658321332117385,22.567734681028078,34.73094746637806,24.807587865688404,22.50373248659849,,,,49.452248,28.056103,28.557673,59.89259,29.954023,15.016929,50.91585,25.77491,14.651566
1999-03-01,51.411892,34.125256,19.381433,66.08660539923935,48.67272977939869,31.556257158758903,38.661329484503746,32.81031780814079,25.81931864692504,,,,55.26106,30.904083,31.766865,67.17399,40.08029,25.390308,62.907436,37.45837,23.82889
1999-04-01,64.09859,44.0991,31.116674,83.46044412160487,65.83049337101923,46.71519580810732,59.41782609698257,47.595639724962,39.46645241475868,,,,69.8903,44.41567,43.978855,80.65827,53.302456,32.205097,78.82202,47.879333,31.752396
1999-05-01,80.56076,73.54678,57.635006,95.29745807741521,99.55077600100259,84.01208039164513,77.6913957549713,71.59176742094492,61.57041083876433,,,,86.10106,65.62993,65.91102,86.74398,77.20648,51.06825,95.82879,75.843506,48.934097
1999-06-01,103.22632,104.23277,119.7721,103.54774316509669,126.00437134562405,122.18901518744497,90.6032854268239,91.66617129877419,94.3009959355735,,,,114.00871,99.202,118.4388,102.489105,104.92292,90.66135,107.41188,106.20466,93.614174
1999-07-01,121.51551,113.56317,126.82047,110.12037955002492,122.43273038864243,109.05808899889881,89.09513901526887,91.76263748394656,93.56778369803169,,,,140.41371,116.521835,134.08775,135.31151,118.16756,102.45137,126.70819,115.67394,104.57571
1999-08-01,126.72258,122.07391,122.90542,135.18698829803128,128.0485197494492,122.84459927479008,105.12484620220575,104.05951628154803,106.14548940779217,,,,143.0282,120.13884,142.12567,154.48575,117.75176,111.08174,149.41272,124.01644,111.762665
1999-09-01,119.2184,107.509865,86.81402,112.22319582292866,76.5985552080659,92.75944159340662,96.94221332337835,92.60684668582884,93.45906293055825,,,,132.14754,113.5629,120.513756,116.90864,80.3097,85.07557,118.75591,96.55455,93.30638
1999-10-01,92.01915,69.31147,44.036133,88.46375251395702,62.72081364921291,61.746688801459996,75.83622333145607,68.85238258965121,72.66856487532553,,,,106.49615,80.31714,73.950386,88.96696,56.111893,55.401096,88.695946,57.372185,59.132893
1999-11-01,65.20865,48.028664,43.573597,75.40051238695098,55.113578884921665,49.4369227302845,56.4019033974272,48.83877408580207,44.26089381220605,,,,72.31845,50.66954,50.174732,76.0518,44.53462,38.013058,75.049545,45.237972,38.39711
1999-12-01,44.19815,28.76174,21.377117,51.66565956795477,41.75545752424393,32.44936746167101,38.48661697043595,33.99446717232464,28.460714152016287,,,,47.732986,29.971262,29.765524,47.422367,28.744276,20.454376,48.520912,26.624884,16.109518
2000-01-01,31.3184,18.94724,13.329732,41.477140403353346,32.33203325584505,21.66737554422486,32.300543081218485,25.61001247848013,21.056259664379535,,,,38.04288,25.35237,23.668283,40.12806,29.00735,20.712952,36.754536,24.257683,17.448458
2000-02-01,32.52405,18.754831,15.001708,45.27706007932821,31.418162686361452,19.69386179537971,34.324307409132736,25.183418928822476,21.425203967845366,,,,42.3929,24.31025,26.166718,48.423462,30.132933,23.382687,43.077023,27.637314,23.640532
2000-03-01,44.875652,29.074356,15.8687725,58.96867075665755,46.094372285031746,30.09170809943721,38.95927313433543,34.742226386586104,28.173989416944384,,,,48.07458,31.860039,25.35493,54.653175,36.711006,15.900592,54.643276,35.643234,15.40967
